placeDcid,placeName,Date:Median_Income_Household,Value:Median_Income_Household,Source:Median_Income_Household,Date:Count_HousingUnit,Value:Count_HousingUnit,Source:Count_HousingUnit,Date:Monthly_Median_GrossRent_HousingUnit,Value:Monthly_Median_GrossRent_HousingUnit,Source:Monthly_Median_GrossRent_HousingUnit,Date:Count_CriminalActivities_CombinedCrime,Value:Count_CriminalActivities_CombinedCrime,Source:Count_CriminalActivities_CombinedCrime,Date:Victim_Count_CriminalIncidents_IsHateCrime,Value:Victim_Count_CriminalIncidents_IsHateCrime,Source:Victim_Count_CriminalIncidents_IsHateCrime,Density_Per_SqMile,Foreign_Born_Percent,Citizenship_Percent
geoId/41,Oregon,2024,83011,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,1857992,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1373,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,123485,http://www.fbi.gov/services/cjis/ucr,2023,300,https://www.fbi.gov/services/cjis/ucr/hate-crime,42.6,10.8,96.9
geoId/42,Pennsylvania,2024,77971,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,5806452,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1110,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,239204,http://www.fbi.gov/services/cjis/ucr,2023,272,https://www.fbi.gov/services/cjis/ucr/hate-crime,283.9,7.7,97.1
geoId/44,Rhode Island,2024,87796,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,485932,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1195,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,14124,http://www.fbi.gov/services/cjis/ucr,2023,28,https://www.fbi.gov/services/cjis/ucr/hate-crime,1253.6,14.6,96.3
geoId/45,South Carolina,2024,69324,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,2443039,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1065,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,143158,http://www.fbi.gov/services/cjis/ucr,2023,115,https://www.fbi.gov/services/cjis/ucr/hate-crime,157.1,5.0,97.9
geoId/46,South Dakota,2024,75081,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,408584,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,878,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,18093,http://www.fbi.gov/services/cjis/ucr,2023,11,https://www.fbi.gov/services/cjis/ucr/hate-crime,11.5,3.8,98.0
geoId/47,Tennessee,2024,69595,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,3143670,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1047,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,213083,http://www.fbi.gov/services/cjis/ucr,2023,100,https://www.fbi.gov/services/cjis/ucr/hate-crime,156.6,5.6,97.8
geoId/48,Texas,2024,78476,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,12128515,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1251,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,806610,http://www.fbi.gov/services/cjis/ucr,2023,512,https://www.fbi.gov/services/cjis/ucr/hate-crime,108.2,17.6,95.4
geoId/49,Utah,2024,95166,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,1223468,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1302,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,63692,http://www.fbi.gov/services/cjis/ucr,2023,190,https://www.fbi.gov/services/cjis/ucr/hate-crime,35.7,8.9,97.3
geoId/50,Vermont,2024,81203,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,339042,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1149,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,12977,http://www.fbi.gov/services/cjis/ucr,2023,62,https://www.fbi.gov/services/cjis/ucr/hate-crime,67.73,6.5,97.5
geoId/51,Virginia,2024,93170,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,3684756,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1440,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,165155,http://www.fbi.gov/services/cjis/ucr,2023,275,https://www.fbi.gov/services/cjis/ucr/hate-crime,202.6,12.7,96.8
geoId/53,Washington,2024,98141,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,3306620,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1592,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,253444,http://www.fbi.gov/services/cjis/ucr,2023,601,https://www.fbi.gov/services/cjis/ucr/hate-crime,102.6,13.9,96.4
geoId/54,West Virginia,2024,59608,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,861325,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,831,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,25852,http://www.fbi.gov/services/cjis/ucr,2023,67,https://www.fbi.gov/services/cjis/ucr/hate-crime,77.06,1.6,98.7
geoId/55,Wisconsin,2024,77485,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,2778572,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,992,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,88986,http://www.fbi.gov/services/cjis/ucr,2023,142,https://www.fbi.gov/services/cjis/ucr/hate-crime,105.2,5.9,97.6
geoId/56,Wyoming,2024,76176,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,277141,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,933,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,9701,http://www.fbi.gov/services/cjis/ucr,2023,20,https://www.fbi.gov/services/cjis/ucr/hate-crime,5.84,3.9,98.1
geoId/72,Puerto Rico,2024,26297,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,1634357,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,545,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,19594,http://www.fbi.gov/services/cjis/ucr,,,,0,0,0
